,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
165-2013-14-All Students-Net Cumulative-External-November,165-2013-14-All Students-Net Cumulative-External,November,165,2013-14,All Students,Net Cumulative,-0.006802721,0.00139788,External,588,-4
165-2013-14-All Students-Entry-External-October,165-2013-14-All Students-Entry-External,October,165,2013-14,All Students,Entry,0.008503402,0.013379707,External,588,5
165-2013-14-All Students-Withdrawal-External-October,165-2013-14-All Students-Withdrawal-External,October,165,2013-14,All Students,Withdrawal,0.00170068,0.010983342,External,588,1
165-2013-14-All Students-Net Cumulative-External-October,165-2013-14-All Students-Net Cumulative-External,October,165,2013-14,All Students,Net Cumulative,0.006802721,0.002396366,External,588,4
168-2013-14-All Students-Entry-External-May,168-2013-14-All Students-Entry-External,May,168,2013-14,All Students,Entry,0,0.066608697,External,316,0
168-2013-14-All Students-Withdrawal-External-May,168-2013-14-All Students-Withdrawal-External,May,168,2013-14,All Students,Withdrawal,0.044303797,0.094550721,External,316,14
168-2013-14-All Students-Net Cumulative-External-May,168-2013-14-All Students-Net Cumulative-External,May,168,2013-14,All Students,Net Cumulative,-0.044303797,-0.02794203,External,316,-14
169-2013-14-All Students-Entry-External-April,169-2013-14-All Students-Entry-External,April,169,2013-14,All Students,Entry,0.045212764,0.074192896,External,376,17
169-2013-14-All Students-Withdrawal-External-April,169-2013-14-All Students-Withdrawal-External,April,169,2013-14,All Students,Withdrawal,0.125,0.073416181,External,376,47
169-2013-14-All Students-Net Cumulative-External-April,169-2013-14-All Students-Net Cumulative-External,April,169,2013-14,All Students,Net Cumulative,-0.079787232,0.000776712,External,376,-30
169-2013-14-All Students-Entry-External-December,169-2013-14-All Students-Entry-External,December,169,2013-14,All Students,Entry,0.04255319,0.034513034,External,376,16
169-2013-14-All Students-Withdrawal-External-December,169-2013-14-All Students-Withdrawal-External,December,169,2013-14,All Students,Withdrawal,0.045212764,0.025091179,External,376,17
169-2013-14-All Students-Net Cumulative-External-December,169-2013-14-All Students-Net Cumulative-External,December,169,2013-14,All Students,Net Cumulative,-0.002659574,0.009421856,External,376,-1
169-2013-14-All Students-Entry-External-February,169-2013-14-All Students-Entry-External,February,169,2013-14,All Students,Entry,0.045212764,0.056767527,External,376,17
169-2013-14-All Students-Withdrawal-External-February,169-2013-14-All Students-Withdrawal-External,February,169,2013-14,All Students,Withdrawal,0.082446806,0.049236797,External,376,31
169-2013-14-All Students-Net Cumulative-External-February,169-2013-14-All Students-Net Cumulative-External,February,169,2013-14,All Students,Net Cumulative,-0.037234042,0.007530731,External,376,-14
169-2013-14-All Students-Entry-External-January,169-2013-14-All Students-Entry-External,January,169,2013-14,All Students,Entry,0.04255319,0.04653519,External,376,16
169-2013-14-All Students-Withdrawal-External-January,169-2013-14-All Students-Withdrawal-External,January,169,2013-14,All Students,Withdrawal,0.07180851,0.038227744,External,376,27
169-2013-14-All Students-Net Cumulative-External-January,169-2013-14-All Students-Net Cumulative-External,January,169,2013-14,All Students,Net Cumulative,-0.029255319,0.008307443,External,376,-11
169-2013-14-All Students-Entry-External-March,169-2013-14-All Students-Entry-External,March,169,2013-14,All Students,Entry,0.045212764,0.06598676,External,376,17
169-2013-14-All Students-Withdrawal-External-March,169-2013-14-All Students-Withdrawal-External,March,169,2013-14,All Students,Withdrawal,0.109042555,0.060684856,External,376,41
169-2013-14-All Students-Net Cumulative-External-March,169-2013-14-All Students-Net Cumulative-External,March,169,2013-14,All Students,Net Cumulative,-0.063829787,0.005301905,External,376,-24
169-2013-14-All Students-Entry-External-May,169-2013-14-All Students-Entry-External,May,169,2013-14,All Students,Entry,0.045212764,0.080845602,External,376,17
169-2013-14-All Students-Withdrawal-External-May,169-2013-14-All Students-Withdrawal-External,May,169,2013-14,All Students,Withdrawal,0.125,0.082601652,External,376,47
169-2013-14-All Students-Net Cumulative-External-May,169-2013-14-All Students-Net Cumulative-External,May,169,2013-14,All Students,Net Cumulative,-0.079787232,-0.001756045,External,376,-30
169-2013-14-All Students-Entry-External-November,169-2013-14-All Students-Entry-External,November,169,2013-14,All Students,Entry,0.04255319,0.027725246,External,376,16
169-2013-14-All Students-Withdrawal-External-November,169-2013-14-All Students-Withdrawal-External,November,169,2013-14,All Students,Withdrawal,0.034574468,0.017526679,External,376,13
169-2013-14-All Students-Net Cumulative-External-November,169-2013-14-All Students-Net Cumulative-External,November,169,2013-14,All Students,Net Cumulative,0.007978723,0.010198568,External,376,3
169-2013-14-All Students-Entry-External-October,169-2013-14-All Students-Entry-External,October,169,2013-14,All Students,Entry,0.04255319,0.019113872,External,376,16
169-2013-14-All Students-Withdrawal-External-October,169-2013-14-All Students-Withdrawal-External,October,169,2013-14,All Students,Withdrawal,0.015957447,0.008003512,External,376,6
169-2013-14-All Students-Net Cumulative-External-October,169-2013-14-All Students-Net Cumulative-External,October,169,2013-14,All Students,Net Cumulative,0.026595745,0.011110361,External,376,10
170-2013-14-All Students-Entry-External-April,170-2013-14-All Students-Entry-External,April,170,2013-14,All Students,Entry,0.03125,0.059143391,External,416,13
170-2013-14-All Students-Withdrawal-External-April,170-2013-14-All Students-Withdrawal-External,April,170,2013-14,All Students,Withdrawal,0.098557696,0.062942274,External,416,41
170-2013-14-All Students-Net Cumulative-External-April,170-2013-14-All Students-Net Cumulative-External,April,170,2013-14,All Students,Net Cumulative,-0.067307696,-0.003798883,External,416,-28
170-2013-14-All Students-Entry-External-December,170-2013-14-All Students-Entry-External,December,170,2013-14,All Students,Entry,0.026442308,0.026815642,External,416,11
170-2013-14-All Students-Withdrawal-External-December,170-2013-14-All Students-Withdrawal-External,December,170,2013-14,All Students,Withdrawal,0.033653848,0.022718808,External,416,14
170-2013-14-All Students-Net Cumulative-External-December,170-2013-14-All Students-Net Cumulative-External,December,170,2013-14,All Students,Net Cumulative,-0.007211538,0.004096834,External,416,-3
170-2013-14-All Students-Entry-External-February,170-2013-14-All Students-Entry-External,February,170,2013-14,All Students,Entry,0.03125,0.043351956,External,416,13
170-2013-14-All Students-Withdrawal-External-February,170-2013-14-All Students-Withdrawal-External,February,170,2013-14,All Students,Withdrawal,0.05528846,0.03925512,External,416,23
170-2013-14-All Students-Net Cumulative-External-February,170-2013-14-All Students-Net Cumulative-External,February,170,2013-14,All Students,Net Cumulative,-0.024038462,0.004096834,External,416,-10
170-2013-14-All Students-Entry-External-January,170-2013-14-All Students-Entry-External,January,170,2013-14,All Students,Entry,0.026442308,0.035307262,External,416,11
170-2013-14-All Students-Withdrawal-External-January,170-2013-14-All Students-Withdrawal-External,January,170,2013-14,All Students,Withdrawal,0.048076924,0.030912478,External,416,20
170-2013-14-All Students-Net Cumulative-External-January,170-2013-14-All Students-Net Cumulative-External,January,170,2013-14,All Students,Net Cumulative,-0.021634616,0.004394786,External,416,-9
170-2013-14-All Students-Entry-External-March,170-2013-14-All Students-Entry-External,March,170,2013-14,All Students,Entry,0.03125,0.052588455,External,416,13
170-2013-14-All Students-Withdrawal-External-March,170-2013-14-All Students-Withdrawal-External,March,170,2013-14,All Students,Withdrawal,0.064903848,0.048640598,External,416,27
170-2013-14-All Students-Net Cumulative-External-March,170-2013-14-All Students-Net Cumulative-External,March,170,2013-14,All Students,Net Cumulative,-0.033653848,0.003947859,External,416,-14
170-2013-14-All Students-Entry-External-May,170-2013-14-All Students-Entry-External,May,170,2013-14,All Students,Entry,0.03125,0.065921791,External,416,13
170-2013-14-All Students-Withdrawal-External-May,170-2013-14-All Students-Withdrawal-External,May,170,2013-14,All Students,Withdrawal,0.098557696,0.069720671,External,416,41
170-2013-14-All Students-Net Cumulative-External-May,170-2013-14-All Students-Net Cumulative-External,May,170,2013-14,All Students,Net Cumulative,-0.067307696,-0.003798883,External,416,-28
170-2013-14-All Students-Entry-External-November,170-2013-14-All Students-Entry-External,November,170,2013-14,All Students,Entry,0.024038462,0.020782122,External,416,10
170-2013-14-All Students-Withdrawal-External-November,170-2013-14-All Students-Withdrawal-External,November,170,2013-14,All Students,Withdrawal,0.03125,0.016536312,External,416,13
170-2013-14-All Students-Net Cumulative-External-November,170-2013-14-All Students-Net Cumulative-External,November,170,2013-14,All Students,Net Cumulative,-0.007211538,0.00424581,External,416,-3
170-2013-14-All Students-Entry-External-October,170-2013-14-All Students-Entry-External,October,170,2013-14,All Students,Entry,0.021634616,0.013929237,External,416,9
170-2013-14-All Students-Withdrawal-External-October,170-2013-14-All Students-Withdrawal-External,October,170,2013-14,All Students,Withdrawal,0.01923077,0.008342644,External,416,8
170-2013-14-All Students-Net Cumulative-External-October,170-2013-14-All Students-Net Cumulative-External,October,170,2013-14,All Students,Net Cumulative,0.002403846,0.005586592,External,416,1
173-2013-14-All Students-Entry-External-April,173-2013-14-All Students-Entry-External,April,173,2013-14,All Students,Entry,0,0.047947083,External,118,0
173-2013-14-All Students-Withdrawal-External-April,173-2013-14-All Students-Withdrawal-External,April,173,2013-14,All Students,Withdrawal,0.050847456,0.052624367,External,118,6
173-2013-14-All Students-Net Cumulative-External-April,173-2013-14-All Students-Net Cumulative-External,April,173,2013-14,All Students,Net Cumulative,-0.050847456,-0.004677287,External,118,-6
173-2013-14-All Students-Entry-External-December,173-2013-14-All Students-Entry-External,December,173,2013-14,All Students,Entry,0,0.023503855,External,118,0
173-2013-14-All Students-Withdrawal-External-December,173-2013-14-All Students-Withdrawal-External,December,173,2013-14,All Students,Withdrawal,0.025423728,0.025656581,External,118,3
173-2013-14-All Students-Net Cumulative-External-December,173-2013-14-All Students-Net Cumulative-External,December,173,2013-14,All Students,Net Cumulative,-0.025423728,-0.002152726,External,118,-3
173-2013-14-All Students-Entry-External-February,173-2013-14-All Students-Entry-External,February,173,2013-14,All Students,Entry,0,0.036929037,External,118,0
173-2013-14-All Students-Withdrawal-External-February,173-2013-14-All Students-Withdrawal-External,February,173,2013-14,All Students,Withdrawal,0.033898305,0.040608242,External,118,4
173-2013-14-All Students-Net Cumulative-External-February,173-2013-14-All Students-Net Cumulative-External,February,173,2013-14,All Students,Net Cumulative,-0.033898305,-0.003679205,External,118,-4
173-2013-14-All Students-Entry-External-January,173-2013-14-All Students-Entry-External,January,173,2013-14,All Students,Entry,0,0.031488512,External,118,0
173-2013-14-All Students-Withdrawal-External-January,173-2013-14-All Students-Withdrawal-External,January,173,2013-14,All Students,Withdrawal,0.033898305,0.033817369,External,118,4
173-2013-14-All Students-Net Cumulative-External-January,173-2013-14-All Students-Net Cumulative-External,January,173,2013-14,All Students,Net Cumulative,-0.033898305,-0.002328858,External,118,-4
173-2013-14-All Students-Entry-External-March,173-2013-14-All Students-Entry-External,March,173,2013-14,All Students,Entry,0,0.042193431,External,118,0
173-2013-14-All Students-Withdrawal-External-March,173-2013-14-All Students-Withdrawal-External,March,173,2013-14,All Students,Withdrawal,0.042372882,0.047105562,External,118,5
173-2013-14-All Students-Net Cumulative-External-March,173-2013-14-All Students-Net Cumulative-External,March,173,2013-14,All Students,Net Cumulative,-0.042372882,-0.00491213,External,118,-5
173-2013-14-All Students-Entry-External-May,173-2013-14-All Students-Entry-External,May,173,2013-14,All Students,Entry,0,0.052487377,External,118,0
173-2013-14-All Students-Withdrawal-External-May,173-2013-14-All Students-Withdrawal-External,May,173,2013-14,All Students,Withdrawal,0.050847456,0.056420997,External,118,6
173-2013-14-All Students-Net Cumulative-External-May,173-2013-14-All Students-Net Cumulative-External,May,173,2013-14,All Students,Net Cumulative,-0.050847456,-0.003933618,External,118,-6
173-2013-14-All Students-Entry-External-November,173-2013-14-All Students-Entry-External,November,173,2013-14,All Students,Entry,0,0.019668089,External,118,0
173-2013-14-All Students-Withdrawal-External-November,173-2013-14-All Students-Withdrawal-External,November,173,2013-14,All Students,Withdrawal,0.025423728,0.019061411,External,118,3
